,Area,Job_title,Company,Experience,Salary,Location,Description,Tag assosiated,Posting_date
160,HR Jobs,GM HR & Administration International/hr  Head ( Two Openings),SKILLMERGE HR CONSULTANTS,10-15 Yrs,1 Cr and above PA.,Dubai/ UAE, A recent global certification valid more than three year from date of interview / date ...,"Payroll, Training Needs, Compensation, Human Resource Management, HR Administration, Selection Process, Employee Relations, HR Operations",6 Days Ago
161,HR Jobs,HR Manager,POST A RESUME HR Consultancy,0-4 Yrs,Not disclosed,Ahmedabad, Job Description: Required Primary Skills : Recruitment and employee engagement Taking i...,"Printing, Training, Payroll, Employee engagement, ESIC, HR, Hardware, Software solutions",9 Days Ago
162,HR Jobs,Human Resource Professional,IBM India Pvt. Limited,5-8 Yrs,Not disclosed,Bengaluru," The IBM HR team is diverse, and you can gain experience from any role assigned within t...","Business HR, HR Operations, Talent Management, Human Resource Professional, Recruitment, Talent Acquisition",2 Days Ago
163,HR Jobs,HR Recruiter,Sunrise Human Consultancy,1-3 Yrs,Not disclosed,Mumbai, Candidate should have experience in Recruitment Consultancy & working with portals. Sou...,"HR, HR Recruiter, Recruitment",None
164,HR Jobs,HR Recruiter,PRESCRIBE INDIA INFO (OPC) PRIVATE LIMITED,0-2 Yrs,Not disclosed,Bhubaneshwar, ? Develop and implement HR strategies and initiatives aligned with the overall business...,"HR, HR Recruiter, Recruitment",None
165,HR Jobs,HR Department,Louis Unisex Salon & Spa,1-5 Yrs,Not disclosed,solan, Required Candidate profile Minimum 1-3 years experience in Recruitment and HR Should ha...,"Selection process, MOB, HR MIS, Recruitment Executive, HR Executive, franchise sales, HR, Advanced Excel",None
166,HR Jobs,Hiring For Talent Acquisition Coordinators /HR Coordinators !!,Allegis Services India Pvt. Ltd.,3-6 Yrs,Not disclosed,Hyderabad, Craft and maintain an interview schedule log ensuring all interviews are efficiently tr...,"Offer Generation, Screening, Staffing, Selection, Interview Scheduling, Hiring, HR, Interviewing",2 Days Ago
167,HR Jobs,HR & Admin Officer,Lifeline Foundation,2-7 Yrs,"2,00,000 - more than 3,00,000 PA.",Vadodara, Liaise with other departmental/ state heads so as to understand all necessary aspects a...,"filling, campus recruitment, employee grievances, drafting, recruitment, documentation, HR Administration, hr generalist",2 Days Ago
168,HR Jobs,Zonal HR,Muthoot Fincorp Ltd,10-15 Yrs,"12,00,000 - 18,00,000 PA.","Madurai, Kochi, Kolkata"," Support AMs for filing of various returns and submissions, as per the statutory require...","joining formalities, talent acquisition, hiring, selection, hr policies, BFSI, onboarding, IR",None
169,HR Jobs,HR and Administration - Trainee,Proso AI Technologies Ltd,0-3 Yrs,"1,75,000 - 2,50,000 PA.",Noida," Experience in technologies like Azure, Google, Dynamics, PeopleSoft and AWS preferred- ...","Linkedin, Azure, Staffing, Compensation, Timesheet, HR Administration, Sourcing, Interviewing",None
170,HR Jobs,HR Associate (mumbai Location),Accenture Solutions Pvt Ltd,1-3 Yrs,Not disclosed,Mumbai, Shift Timings: Rotational ShiftsHR Domain certification would be a plus 4 years of HR E...,"mail, hiring, compensation processing, english language, human resource, excel, talent management, employee engagement",2 Days Ago
171,HR Jobs,Human Resource Manager,Snaphunt,3-8 Yrs,Not disclosed,Delhi NCR," The full life-cycle of recruitment for recent graduates and early career candidates, in...","Digital Learning, Screening, Compensation, Human Resource Management, Employee Engagement, HR, Leadership Development, Training Delivery",2 Days Ago
172,HR Jobs,Talent Acquisition & HR Generalist,Snaphunt,3-8 Yrs,Not disclosed,Mumbai, You have at least 3 years experience including solid experience in a similar role withi...,"HR Generalist Activities, Employee Relations, HR Operations, Employee Benefits, HR Audit, Employer Branding, Head Hunting, Recruitment",2 Days Ago
173,HR Jobs,Exe. / Sr. Exe. -  HR Required in Ahmadabad / Mohali / Indore,Shalby Limited,2-7 Yrs,"2,00,000 - 3,25,000 PA.","Ahmedabad, Indore, Mohali", Sourcing & Recruitment :Identifying requirements of corporate in various departments an...,"Grievance Handling, Policies, Executive, Hiring, recruiter, Procedures, HR, Onboarding",None
174,HR Jobs,HR Consultant,Snaphunt,0-2 Yrs,Not disclosed,Mumbai," Acting as the primary point of contact for graduate level candidates, educational insti...","Executive Search, Training, Screening, Salary, Telephonic, HR Consulting, Sourcing, Head Hunting",2 Days Ago
175,HR Jobs,DGM- HR & IR,Om Oil & Flour Mills Ltd,15-25 Yrs,Not disclosed,Cuttack, Professional Experience requirements: 1) Minimum 15 years of total experience in Core H...,"Change Management, statutory compliance, recruitment, pms, training, core hr, corporate affairs, Organization Restructuring",None
176,HR Jobs,Recruitment Specialist - Department of  Human Resource,Corp Scan Business Solutions Private Limited,1-4 Yrs,"2,00,000 - 3,00,000 PA.",Delhi NCR(Sector-15 Dwarka)," The incumbent, Recruitment Specialist for Talent Acquisition we are looking forward is ...","head hunting, hr recruiter, hr officer, hr administration, hr manager, human resource management, manpower sourcing, recruitment",None
177,HR Jobs,"HR & Administration Executive,",Mosaic Wellness Private Limited,1-3 Yrs,"2,50,000 - more than 3,00,000 PA.","Mumbai Suburbs, Mumbai(Marol)"," Must be a team player and problem solverExcel, Word, PPT Skills mustMust have knowledge...","exit formalities, Office Administration, recruitment, pf, esic, hr administration, solving queries, onboarding",None
178,Hotel Jobs,Hotel Manager  required under pr Visa in Canada,Comet Advisor,2-5 Yrs,"45,00,000 - 90,00,000 PA.",Canada, Required Candidate profileProven experience as Hotel Manager or relevant role,"Marketing Strategy, Hotel Manager, PR, Sales, hospitality operations, F&B Manager, Hotel Management, Kitchen",11 Days Ago
179,Hotel Jobs,F&B Captain,Hotel Le lac Sarovar portico,3-5 Yrs,"1,25,000 - 1,75,000 PA.",Ranchi," Consistently offer professional, friendly and proactive guest service while supporting ...","B Service, Hotel Management, Banquet Captain, F&B Captain, Guest Service, restaurants management, hospitality management",5 Days Ago
180,Hotel Jobs,Steward,"Hotel Le lac Sarovar portico, Ranchi",1-3 Yrs,"80,000 - 1,25,000 PA.",Ranchi," Consistently offer professional, friendly and proactive guest service while supporting ...","steward, Hotel Management, bartender, Guest Service, waiter, Guest Service Associate, restaurant management",5 Days Ago
181,Hotel Jobs,Hotel Manager,Arion services,5-10 Yrs,"32,50,000 - 45,00,000 PA.",Canada," recruiting, training and supervising staff. managing budgets. maintaining statistical a...","hotel manager, hospitality manager, hotel management, restaurant management, hospitality management, resort manager, hospitality deputy manager",9 Days Ago
182,Hotel Jobs,Hotel Manager Required in Malta (europe),Arion services,5-10 Yrs,"32,50,000 - 45,00,000 PA.",United Kingdom (U.K)," Recruiting, training and supervising staff. managing budgets. maintaining statistical a...","hotel manager, hospitality manager, hotel management, restaurant management, hospitality management, resort manager, hospitality deputy manager",9 Days Ago
183,Hotel Jobs,Hotel Manager | Canada | Urgent Requirement,Viahire Services,2-7 Yrs,"40,00,000 - 80,00,000 PA.",Canada, Contact Person / No.-Ishan-9599192906 Responsible for managing employees and for planni...,"Hotel Manager, resorts management, Hotel General Manager, Hotel Management, restaurant manager, hotel deputy general manager, hospitality supervisor, hotel assistant general manager",None
184,Hotel Jobs,Hotel Managers - Apply Under PR Visa For Canada | Hong Kong,Collabs Immigration,3-8 Yrs,Not disclosed,"Hong Kong, Canada"," Hotel / Restaurant Managers has a broad role, and the specific responsibilities will va...","office manager, Hotel Manager, Hospitality, admin manager, food & beverage manager, hotel operations, general manager, hotel housekeeping",15 Days Ago
185,Hotel Jobs,Hotel Managers - Apply Under PR Visa For Canada | Australia| Hong Kong,Quest Immigration Services LLP,6-11 Yrs,"55,000 - 75,000 PA.","Hong Kong, Canada", Hotel Managers are in shortage in AUSTRALIA | CANADA | GERMANY | USA where immigration ...,"hotel supervisor, food & beverage manager, hotel operations, hotel manager, hotel housekeeping, hotel operational trainee, hotel general manager, restaurant manager",14 Days Ago
186,Hotel Jobs,Restaurant Manager,HOTEL FIDALGO,1-3 Yrs,Not disclosed,Panjim, Restaurant Manager: Location Goa To manage his/ her assigned outlets as successful inde...,"Relationship Executive, guest satisfaction, Guest service, Hotel management, Management, Business Executive, Supervision",30+ Days Ago
187,Hotel Jobs,CDP (Chef de partie) Oriental Cuisine,Hotel Swarn Towers,2-4 Yrs,Not disclosed,Bareilly," Skills: Ensure adequacy of supplies, cooking process, climate of smooth and friendly co...","Kitchen Management, Hotel Management, Chef, Menu Planning, hospitality, Food Costing",30+ Days Ago
188,Hotel Jobs,Trainer Hotel Management/Chef with a Leading Training&placement MNC,Teamlease Servcies limited,3-8 Yrs,"2,50,000 - more than 3,00,000 PA.",Vijayawada, Teach Graduates/Students on Cooking/Baking (Hospitality)Must be a Sou Chef/Commis Chef/...,"Training, Leadership, Placement, Communication",11 Days Ago
189,Hotel Jobs,Sous Chef,HOTEL FIDALGO,2-5 Yrs,Not disclosed,goa, Junior Sous Chef : Location Goa Junior Sous Chef : Location Goa Responsible to oversee ...,"Chef, Hotel management, Monitoring",30+ Days Ago
190,Hotel Jobs,Rooms Supervisor,HOTEL FIDALGO,4-9 Yrs,Not disclosed,Panjim, Rooms Supervisor : Location Goa He should know how to check the room with proper checkl...,"Supervisor, process, Hotel management, Saving, Computer savvy, Catering, Room, Business Executive",30+ Days Ago
191,Hotel Jobs,Chef De Partie Pastry Chef,HOTEL FIDALGO,5-10 Yrs,Not disclosed,Panjim," Chef De Partie Pastry Chef : Location Goa Good skills in preparing breads, pastries, ca...","Chef De Partie, HACCP, Leadership skills, Hotel management, Pastry Chef, Sound",30+ Days Ago
192,Hotel Jobs,F & B Controller,HOTEL FIDALGO,1-5 Yrs,Not disclosed,Panjim," F & B Controller : Location Goa Responsible to Control the ordering, purchasing and iss...","Purchase, Hotel management, Cost, Business Executive, Cost control",30+ Days Ago
193,Hotel Jobs,Chef-Indian/Continental/Chinese,Hotel Peninsula Redpine,1-5 Yrs,Not disclosed,maharashtra," Prepares, arranges and serves all food according to the standard set by the Executive C...","Training, Supervisor, HR Supervisor, Chef, Hotel management, commis, Food production, Executive Chef",30+ Days Ago
194,Hotel Jobs,Room Attendant/ Room Boy,Hotel Eqbal Inn,2-7 Yrs,Not disclosed,Patiala," Knowledge, Skills and Abilities: A secondary school diploma is preferred Physical mobil...","Housekeeping, school, Guest, staff, Customer service, stock, Room, Business Executive",30+ Days Ago
195,Hotel Jobs,Banquet / Sales Coordinator / Executive,HOTEL FIDALGO,2-5 Yrs,Not disclosed,goa, To supervise all phases of all type of banquet functions. Should also oversee banquet e...,"Supervisor, Banquet Sales Coordinator, Senior Executive, Hotel management, query",30+ Days Ago
196,Hotel Jobs,F & B Associate Steward,HOTEL FIDALGO,1-6 Yrs,Not disclosed,Panjim, F & B Associate Steward: Location Goa Responsible to serve Food & Beverage to guests in...,"guest satisfaction, Hotel management, F&B Associate",30+ Days Ago
197,Hotel Jobs,General Manager- Hotel Operations,Bharat Hotels Limited (The Lalit),20-25 Yrs,Not disclosed,Kolkata, Maximizes room revenues and profits by anticipating and planning for market shiftsRespo...,"General Management, Guest Service, Hotel Operations",30+ Days Ago
198,Client Server Jobs,IT Software - Client Server,Qusol,3-6 Yrs,Not disclosed,Guwahati, Job Description :Advanced AngularJS developer. AngularJS developer will work as a mix o...,"SIDE, Backend, Front end, Javascript, Manager Technology, angularjs, international clients",30+ Days Ago
199,Client Server Jobs,Installing and configuring DHCP Client/Server,Omniscient IT Solutions Pvt Ltd,1-5 Yrs,Not disclosed,Delhi, Installing and configuring DHCP Client/ Server Sound knowledge of digital and analog em...,"Usage, Backup management, Configuring DHCP, testing, Management reporting, Computer hardware, Analog, Disaster recovery",30+ Days Ago
200,Client Server Jobs,Client Server Analyst,placement madad,0-1 Yrs,Not disclosed,Gurgaon, Candidate have to maintain the client server line,"Bmc Remedy, Server Analyst, Windows, SQL",30+ Days Ago
201,Client Server Jobs,Python Developer,Banyan Data Services India Pvt Ltd,2-7 Yrs,Not disclosed,Bengaluru(Whitefield)," Should able to schedule the automation in job scheduler, Jenkins etc Must be flexible t...","Open Source, Openstack, Build automation, Shell Programming, Client Server Architecture, Devops, Automation Tools, Rest",None
202,Client Server Jobs,Cloud Engineer- Remote,Mantra Tech Ventures Pvt. Ltd.,2-3 Yrs,"3,00,000 - 6,00,000 PA.",Delhi NCR, ServerGuy is a leading enterprise hosting solution company specialized in managed WordP...,"kubernetes, python, cloud engineer, nginx, wordpress, technical support engineer, lamp, cloud senior engineer",4 Days Ago
203,Client Server Jobs,Junior Software Engineer - Java - 3 To 6 Years,Interactive brokers software services (India) Pvt,1-3 Yrs,"6,00,000 - 12,00,000 PA.",Mumbai(Marol)," 2 years of relevant work experience, including large systems software development exper...","algorithms, Java, software development, oracle, jsp, servlets, data structures, software engineering",30+ Days Ago
204,Client Server Jobs,Associate Development Manager C++,Quick Heal Technologies Limited,9-12 Yrs,Not disclosed,Pune, We are hiring Product Experts who will own end to end development of Next-gen Enterpris...,"com, algorithms, c++, windows internals, c, win32, socket programming, multithreading",30+ Days Ago
205,Client Server Jobs,Codeignitor Developer,T & A Solutions,1-2 Yrs,Not disclosed,Mohali, Codeignitor Developer Exp : 1 to 2 years Must have exp on Codeignitor Cake PHP and Word...,"IT Software - Client/Server Programming, Software Developer, wordpress, php, developer",30+ Days Ago
206,Client Server Jobs,"Devops Architect-Failquick,Recoverfast,Deploy frequent code",CareerXperts Consulting,1-6 Yrs,Not disclosed,"Chennai, Pune, Bengaluru", Startup and Entrepreneurial experience will be a big plus! Qualification Skills needed ...,"Automation, NoSQL, devops, Machine learning, Tools, Service, Stores, High level design",30+ Days Ago
207,Client Server Jobs,Subject Matter Expert- TSM Administrator,IBM India Pvt. Limited,8-10 Yrs,Not disclosed,India, Validated experience in debugging and analytical skills with solid grasp of system deve...,"Service Level, Enterprise Software, configuration, Infrastructure Services, installation, Disaster Recovery, Managed Services, Subject Matter Expert",30+ Days Ago
208,Client Server Jobs,Senior/ Junior- Technical Specialist-Java,Brillius technologies,5-8 Yrs,Not disclosed,Noida," Mandatory Skills: 1. Strong Java developer with strong JEE capabilities, Object Oriente...",/ Junior- Technical Specialist-Java,30+ Days Ago
209,Client Server Jobs,iOS Developer Gurgaon,Pylon Management Consulting Pvt Ltd,3-6 Yrs,Not disclosed,Delhi NCR, Note: Candidates preferred from E-commerce companies or Tier 1 Colleges/ IITians-Releva...,"objective c, ios application developer, ios application software programmer, ios development, ios application software engineer, swift",10 Days Ago
210,DBA Jobs,PostgreSQL DBA,Kronos Solutions India Pvt. Ltd.,5-8 Yrs,Not disclosed,Noida," Description This role will work closely with the DBAs, development, architecture and in...","Unix, Computer science, Linux, Production support, Postgresql, Database administration, JDBC, Healthcare",None
211,DBA Jobs,Oracle Application Database Administrator,VG IT Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Chennai(MRC Nagar)," Bachelors degree in Computer Science, Management Information Systems, or related field ...",Oracle Apps,2 Days Ago
212,DBA Jobs,Oracle Database Administrator - Configuration & Installation,Perion Human Capital Solution,2-5 Yrs,Not disclosed,"Delhi NCR, Delhi", Monitoring the state of the database and taking preventive or corrective action as requ...,"Oracle DB, DBA, Oracle SCM, Linux OS, Oracle System Administration, Oracle ASAP, Oracle DBA, MongoDB",2 Days Ago
213,DBA Jobs,"DBA & Database Professionals in Canada, Australia, Germany & Hong Kong",Aosta Overseas Careers,2-7 Yrs,Not disclosed,"Germany, Canada, Australia"," DBA & Database Professionals in Canada, Australia, Germany & Hong Kong Collect and docu...","database research analyst, database research, Database, Database Analyst, Database Development, database business analyst",None
214,DBA Jobs,Azure DBA Expert - Database Security & Administration,Foray Software,4-8 Yrs,Not disclosed,Bengaluru," Net 2017/ 2015/ 2008/ 2005/ 2003, Visual Studio Team System, MS Team Foundation server,...","MDX, Azure, DBA, PL/ SQL, JSON, SQL Server, Visual Studio, DBA Support",None
215,DBA Jobs,SQL Server Database Administrator,LKQ India Private Limited ( hiring@LKQCORP.com ),6-10 Yrs,Not disclosed,Bengaluru, Shift : Must have the ability to communicate highly technical information to both techn...,"DBA, High Avilability, SSIS, Troubleshooting, Performance Tuning, TSQL",None
216,DBA Jobs,DB2 DBA Administrator,IBM India Pvt. Limited,4-9 Yrs,Not disclosed,India," Who you areAs DB2 DBA specialist, you are responsible to provide technical support with...","Database Monitoring, JCL, Database Administration, Db2 Dba, QMF, Troubleshooting, Omegamon, IT Infrastructure",3 Days Ago
217,DBA Jobs,Oracle Core DBA,Capgemini Technology Services India Limited,6-9 Yrs,Not disclosed,Mumbai, Oracle Core DBA - 6yrs to 9yrs- Mumbai/Bangalore Qualifications any graduate Job Respon...,"Performance tuning, Storage management, RAC, Database administration, Unix scripting, Oracle, RMAN",3 Days Ago
218,DBA Jobs,SQL DBA Admin,Capgemini Technology Services India Limited,6-9 Yrs,Not disclosed,Mumbai, Qualifications any graduate Job Responsibilities Oracle Core DBA - 6yrs to 9yrs- Mumbai...,"Performance tuning, Storage management, RAC, Database administration, DBA Administrator, Unix scripting, Oracle, SQL DBA",3 Days Ago
219,DBA Jobs,Oracle Apps R12 DBA,Lonar Consulting Services Pvt Ltd,6-8 Yrs,Not disclosed,India," Job Skills: Support the install, configuration, and upgrade Oracle eBusiness Suite (eBS...","Oracle Apps, DBA, Database administration",2 Days Ago
220,DBA Jobs,Oracle DBA,Techno-Comp Computer Services Private Limited,5-10 Yrs,Not disclosed,Hyderabad, 1.Experience into Oracle DBA2.Must have experience working in telecom domain.3.Must hav...,"DBA, database administrator, Database administration, Oracle DBA, Oracle",4 Days Ago
221,DBA Jobs,Oracle DBA,Capgemini Technology Services India Limited,4-6 Yrs,Not disclosed,Bengaluru, Oracle Database admin 1 Creates and maintains all databases required for development te...,"Oracle database, Oracle RDBMS, Administration Staff, Database, Database administration, Oracle DBA, Oracle, Capacity planning",4 Days Ago
222,DBA Jobs,Junior DBA,Capgemini Technology Services India Limited,2-5 Yrs,Not disclosed,Chennai, Preferred: B.com/ BBA or any equivalent commerce degree Good communication skills,"Excel, Process improvement, Data collection, Database administration, Commerce, Data analytics, Management",4 Days Ago
223,DBA Jobs,Associate Senior Enterprise Database Administrator,CERNER HEALTHCARE SOLUTIONS PVT LTD,2-5 Yrs,Not disclosed,Bengaluru," Job Description As an Associate Senior Enterprise Database Administrator, you will be r...","Performance management, Management, Troubleshooting, Database Administrator, SQL",3 Days Ago
224,DBA Jobs,Database Administrator ,Addverb Technologies,6-11 Yrs,Not disclosed,Noida, Duties Responsibilities Building database systems of high availability and quality depe...,"Backend, NoSQL, PDF, Data management, HP data protector, RDBMS, Coding, Database design",3 Days Ago
225,DBA Jobs,MySQL Database Administrator,Enfusion,1-4 Yrs,Not disclosed,Mumbai," Who We Need We are currently looking for a self - motivated, Senior MySQL DBA to join o...","Unix, Computer science, Linux, MySQL, Schema, Archiving, Medical insurance, Analytics",4 Days Ago
226,DBA Jobs,Sr Database Engineer( SQL DBA + Etl/ssis Development),Atidan Technologies,4-9 Yrs,Not disclosed,"Pune, Mumbai"," 1) SQL Server Installation/Configuration, 2) SQL Queries (DML, DDL, Management views) 3...","Database Administration, DML, Disaster Recovery, SQL Queries, SSIS, ETL, SQL DBA, DDL",5 Days Ago
227,DBA Jobs,Mysql Database Administrator ( DBA ),GHSL Technologies,3-8 Yrs,Not disclosed,Hyderabad, Decent experience with recent versions of MySQL,"DBA, backup, upgrade, PostgreSQL, SQL statements, ORACLE Database, migration, MySQL Database Administrator",5 Days Ago
228,DBA Jobs,Database Administrator / Performance Engineer,ROSMERTA  TECHNOLOGIES lIMITED,5-8 Yrs,Not disclosed,Bhubaneshwar," Very Strong experience with Database Performance Analysis, Troubleshooting. Perform dat...","Performance tuning, Automation, query optimization, Data management, Postgresql, Database administration, Performance analysis, Troubleshooting",4 Days Ago
229,DBA Jobs,DBA,Pegasus Knowledge Solutions India Private Limited,4-9 Yrs,Not disclosed,Bengaluru," Must have knowledge of setting MySQL clustering, Ning, troubleshooting Must have good k...","Performance tuning, NoSQL, Oracle SQL, Db2, Postgresql, MySQL, Customer handling, Database",4 Days Ago
230,Ecommerce Jobs,IT Manager - Ecommerce Business,Only D' Best Commerce Pvt Ltd,2-7 Yrs,"3,00,000 - 6,00,000 PA.","Mumbai Suburbs, Mumbai(Azad Nagar +2)"," Proven leadership of large or medium sized B2C eCommerce Companies, preferably in Foods...","it management, e commerce manager, IT Manager, ecommerce executive, E - commerce",None
231,Ecommerce Jobs,Sr. Hybris Ecommerce Technical Lead,Colgate Palmolive,10-12 Yrs,Not disclosed,Mumbai, Roles and Responsibility: This role requires extensive experience in development and su...,"JAVA Spring Framework 4, Core Java, CSS, Hybris eCommerce Technical Lead, hybris, Java Script, hybris eCommerce development, HTML",11 Days Ago
232,Ecommerce Jobs,Senior Manager Ecommerce,Medline Industries India Private Limited,14-18 Yrs,Not disclosed,Pune," Medline Industries, Inc. Information Services department is seeking a Sr. Manager with ...","Business Strategy, Delivery Operations, Business Partnering, Succession Planning, Team Leading, Process Excellence, Career Development, Policy Development",3 Days Ago
233,Ecommerce Jobs,Director- Products- Web & Mobile- eCommerce- IIM/ IIT/ ISB/ NIT/ BITS,Pinnacle Solutions,6-11 Yrs,Not disclosed,"Delhi NCR, Gurgaon", IDEAL CANDIDATE: - Passout from a leading tech/ B School like Mobile / payment gateways...,"front end, industry reports, online product management, affiliate marketing, technology marketing, e - commerce, Consumer Internet, product management",2 Days Ago
234,Ecommerce Jobs,Chief Technology Officer - Ecommerce - Startup,Pinnacle Solutions,9-14 Yrs,Not disclosed,"France, Europe, Paris"," Please note: Job is based in Paris, France and is a full time opportunityShould know ho...","coding, e - commerce, operations, web frameworks, PHP, IT Project Management, product delivery, CTO",None
235,Ecommerce Jobs,Lead/ Head - Product Management - eCommerce - IIT/ NIT/ IIM/ XLRI/ FMS,Pinnacle Solutions,3-8 Yrs,Not disclosed,Delhi NCR, Lead/ Head - Product Management - eCommerce - IIT/ NIT/ IIM/ XLRI/ FMS (3-10 yrs) Key R...,"Leadership, Product Management, IT Product Management, eCommerce, Consumer Internet, Iit, IIM, IT Product Development",2 Days Ago
236,Ecommerce Jobs,Chief Technology Officer - Ecommerce Startup,HungryBIrd Consulting Services,5-6 Yrs,Not disclosed,Delhi NCR, BTechBE only from tier 1 Must be from consumer based e-commerce industry Must have deve...,"Technical Architect, eCommerce, Magento, CTO, Chief Technology Officer",2 Days Ago
237,Ecommerce Jobs,IT Product Manager - Saas/ecommerce,Change Leaders,1-6 Yrs,Not disclosed,Gurgaon, Product Management - Translate new product strategy shared by the Product Marketing Man...,"Product Strategy, Product Management, eCommerce, software applications, UX, Secondary Research, Marketing Management, Requirement Gathering",2 Days Ago
238,Ecommerce Jobs,Shopify Developer - Ecommerce Platform,Team Pumpkin,1-4 Yrs,Not disclosed,Bengaluru," Candidates should be Confident, self -motivated, who work well in team environments Mus...","eCommerce, jQuery, javascript / Jquery, Magento, HTML5, Javascript, Shopify, BigCommerce",2 Days Ago
239,Ecommerce Jobs,Magento Developer - Zend Frameworks - Ecommerce,The Skill Labs,3-6 Yrs,Not disclosed,Mumbai, Should be capable of integrating open source scripts and toolsShould be well versed wit...,"eCommerce, GIT, MySQL, Javascript, CMS, PHP, Magento Developer, LAMP",15 Days Ago
240,Ecommerce Jobs,Assistant Product Manager - Ecommerce,Yo HR Consultancy,1-4 Yrs,Not disclosed,Noida, Job Nature : Full TimeQualification : BBA / MBA BE / BTech Masters of Engineering/ Mast...,"IT Product Management, Consumer Internet, eCommerce, Product Manager, Online Product Management",2 Days Ago
241,Ecommerce Jobs,Product Manager - Ecommerce  - Iit/iim/nsit/nit,HyrEzy Talent Solutions,1-2 Yrs,Not disclosed,Noida," Should have launched consumer internet products, and managed it through the entire prod...","IT Product Management, Consumer Internet, Product Management, Online Product Management, market analysis",None
242,Ecommerce Jobs,Ecommerce Specialist,Webwingz Software Pvt Ltd,1-5 Yrs,Not disclosed,Pune, You will be responsible for: Manage order (status updates) Customer support (on emails ...,"Excel, Stock management, Test management, Online sales, E-commerce, Customer support, Web designing, Management",30+ Days Ago
243,Ecommerce Jobs,Senior eCommerce Project Manager,TWG Applied Services (India) Private Limited,3-5 Yrs,Not disclosed,Chennai, GENERAL ROLE DESCRIPTION BORN North America are looking for a Senior Ecommerce Project ...,"IT Skills, Software Development",30+ Days Ago
244,Ecommerce Jobs,Ecommerce Manager Required in Mohali,Saffron Consultancy Services(scs),2-4 Yrs,Not disclosed,Mohali, E - commerce Developer in Mohali about Company : it is India's Leading Internet Marketi...,"assembly language, Six Sigma, PMP, C, JavaScript, Real Time Operating Systems, .NET, HTML",30+ Days Ago
245,Ecommerce Jobs,Ecommerce Manager,Rathi Personnel Training & Placement Services Pvt. Ltd.,1-2 Yrs,Not disclosed,Panipat, E COMMERCE MANAGER FOR JEWELRY,"Brand management, E-commerce, Marketing management, Digital marketing",30+ Days Ago
246,Ecommerce Jobs,"ECommerce Operations , Associate Manager",P&G,2-5 Yrs,Not disclosed,Mumbai," ECommerce Operations, Associate Manager Description P&G was founded over 180 years ago ...","Training, Social media, Network operations, Diversity and Inclusion, Data collection, Packaging, payment gateways, E-commerce",30+ Days Ago
247,Ecommerce Jobs,Software Programmer - PHP/ Mysql/ Html/ CSS - Ecommerce,EndeavorITSolution,0-2 Yrs,Not disclosed,Indore, Software Programmer - PHP/ Mysql/ Html/ CSS - Ecommerce Develop features into existing ...,"Technical product configuration, c++, C, design, MySQL, JavaScript, integration PHP, HTML",30+ Days Ago
248,Ecommerce Jobs,Microservices LeadArchitect - Huawei eCommerce Group,Huawei Technologies India Pvt Ltd,6-9 Yrs,Not disclosed,Bengaluru," • Strong Java/J2EE development experience including Core Java (1.5 or above), Spring, H...","JMS, Hibernate, Core Java, UML, Coding, Service, Middleware, Information technology",30+ Days Ago
249,Ecommerce Jobs,eCommerce Program Manager,TWG Applied Services (India) Private Limited,4-7 Yrs,Not disclosed,Chennai, Manage multiple complex projects up to and occasionally exceeding 100K Work with team l...,"Manager Program Management, E-commerce, Management, Operations, Cost, SDLC",30+ Days Ago
250,ERP Jobs,Epicor ERP Technical Consultant - Crystal Reports,All About HR Solutions,2-4 Yrs,Not disclosed,Mumbai, Job title : Epicor ERPTechnical Consultant Reporting to Technical Lead Epicor ERP - Ove...,"TFS, C#, ERP, Epicor ERP Technical Consultant, SOA, SSRS, Crystal Reports, Navision",2 Days Ago
251,ERP Jobs,Epicor ERP Technical Consultant - Crystal Reports,All About HR Solutions,2-4 Yrs,Not disclosed,Mumbai, Job title : Epicor ERPTechnical Consultant Reporting to Technical Lead Epicor ERP - Ove...,"TFS, C#, ERP, SOA, SSRS, Crystal Reports, Navision, Consultant",2 Days Ago
252,ERP Jobs,ERP Administrator 3,Capgemini Technology Services India Limited,6-8 Yrs,Not disclosed,Bengaluru, Profile Summary Strong Experience with SAP ABAP ABAP language basics Open SQL Modulariz...,"Performance tuning, sap, SAP ABAP, OOPS, WebDynPro, SEZ, ERP Administrator, LBS",4 Days Ago
253,ERP Jobs,ERP and System Controller,SJC INSTITUTE LLP,1-2 Yrs,Not disclosed,Kolkata, Keyskill ?Understanding of enterprise softwares. ?Understanding of commerce and busines...,"Analytical skills, Training, Bengali, ERP, Excel, Commerce, Content writing, Powerpoint",4 Days Ago
254,ERP Jobs,Technical lead (ERP developer),Sailo Technosoft,4-5 Yrs,Not disclosed,Pune," JD - Oracle Project Accounting and Fusion PPM (Projects, Costing, Billing, Resource Man...","ERP, ERP developer, Technical Lead",4 Days Ago
255,ERP Jobs,Oracle ERP Cloud Financials Consultant,Peloton Consulting India Private Limited,4-6 Yrs,Not disclosed,Hyderabad, Responsibilities Responsibilities will vary depending on the level and experience of th...,"Procurement, Financial reporting, Analytical, Finance, Intellectual property, Financial planning, Project accounting, Oracle ERP",4 Days Ago
